"JD" "wind mean" "wind max" "t air"
344.15 14.02 15.41 -14.9
344.18 14.33 15.68 -13.613
344.21 15.57 16.66 -12.072
345 15.38 16.12 -11.495
345.03 13.8 16.42 -11.343
345.06 9.3 11.99 -11.494
345.09 6.216 7.27 -13.29
345.12 4.105 5.34 -12.615
345.15 4.999 6.978 -13.349
345.18 6.216 6.848 -17.588
345.21 8.54 10.22 -19.734
346 11.04 12.08 -18.542
346.03 8.35 9.24 -16.786
346.06 6.326 9.33 -18.307
346.09 7.61 9.38 -19.447
346.12 10.46 12.41 -21.723
346.15 13.49 15.55 -21.678
346.18 14.24 15 -22.089
346.21 14.97 15.71 -21.18
347 13.82 14.53 -19.35
347.03 12.86 14.04 -19.219
347.06 11.91 13.28 -16.182
347.09 9.97 11.94 -17.767
347.12 8.36 9.6 -20.637
347.15 5.82 7.22 -23.732
347.18 4.459 6.717 -28.399
347.21 5.697 7.43 -28.467
348 7.63 9.09 -27.369
